id_cliente,nome_cliente,API,ID API,Versão,METODO_RECURSO,Requisições,Perfomance (ms),Disponibilidade
1634,RAIZ_AGIL,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /,1527376,"1674,13","99,70%"
1635,ATLAS_LINEAR,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,1188,"68,05","100,00%"
1636,AXIS_SUTIL,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,1135125,"681,10","99,71%"
1637,RIO_RARE,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,9,"96,75","100,00%"
1638,CORE_GAMA,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /,1527350,"1978,07","99,69%"
1639,HORIZONTE_AZUL,Pix,8175497,v1,PUT / Pix - QR Code,202,"65,41","99,50%"
1639,HORIZONTE_AZUL,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,1,"35,00","100,00%"
1640,NODO_DOURADO,Pix,8175497,v1,PUT / Pix - QR Code,28,"19,00","100,00%"
1640,NODO_DOURADO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /,52295,"238,98","99,73%"
1641,DELTA_SUPERIOR,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,9164,"167,97","99,47%"
1641,DELTA_SUPERIOR,Pix,8175497,v1,PUT / Pix - QR Code,12008,"441,79","99,41%"
1641,DELTA_SUPERIOR,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,9133,"364,13","99,03%"
1641,DELTA_SUPERIOR,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,13187,"130,50","99,67%"
1642,CHAMA_PURO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /,1481593,"1297,49","99,81%"
1643,DELTA2_DENSO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /,1527345,"1516,38","99,68%"
1644,SYSTEM_VERDE,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,43422,"374,95","99,72%"
1644,SYSTEM_VERDE,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,2219,"25,54","99,86%"
1644,SYSTEM_VERDE,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,2227,"158,32","99,78%"
1645,ORBITA_PASSIVO,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,19760,"396,12","99,77%"
1645,ORBITA_PASSIVO,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,285,"242,37","99,30%"
1646,SUL_SIMPLES,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,17435,"144,95","99,73%"
1646,SUL_SIMPLES,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,7,"75,17","100,00%"
1646,SUL_SIMPLES,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,7,"16,83","100,00%"
1647,ARCO_AMPL0,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,10683,"18,91","99,79%"
1647,ARCO_AMPL0,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,515,"135,85","99,81%"
1648,NODEX_CONCRETO,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,128,"83,13","100,00%"
1648,NODEX_CONCRETO,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,128,"17,13","100,00%"
1648,NODEX_CONCRETO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,87120,"209,18","99,74%"
1649,CICLO_COMPLEXO,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,3,"77,33","100,00%"
1649,CICLO_COMPLEXO,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,141,"19,67","100,00%"
1650,CORRENTE_VERDE,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /,2,"40,00","100,00%"
1651,BRISA_CLARO,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,1158,"17,63","100,00%"
1651,BRISA_CLARO,Pix,8175497,v1,PUT / Pix - QR Code,63,"213,74","92,06%"
1652,ECO_MOVEL,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /,245,"45,13","100,00%"
1653,VALE_ABERTO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,19887,"145,51","99,78%"
1653,VALE_ABERTO,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,2535,"97,48","99,88%"
1653,VALE_ABERTO,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,2559,"69,63","99,92%"
1653,VALE_ABERTO,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,1288,"37,98","100,00%"
1654,FIELD_SUAVE,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,361,"67,11","100,00%"
1654,FIELD_SUAVE,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,10395,"140,30","99,96%"
1655,CORE_UMIDO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /,25975,"294,75","99,82%"
1656,STREAM_DENSO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,17291,"162,89","99,76%"
1657,ATLAS_ABSTRATO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,78382,"250,77","99,78%"
1657,ATLAS_ABSTRATO,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,40,"15,89","100,00%"
1657,ATLAS_ABSTRATO,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,40,"84,22","100,00%"
1658,ATLAS_EXATO,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,7,"69,00","100,00%"
1658,ATLAS_EXATO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /,971,"41,14","100,00%"
1659,TOPO_FORTE,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,675,"383,48","98,96%"
1659,TOPO_FORTE,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,2945,"124,05","99,35%"
1660,NODEX_INTERNO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,183,"124,86","98,36%"
1661,SINAL_EXTERNO,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,199,"45,32","100,00%"
1661,SINAL_EXTERNO,Pix,8175497,v1,PUT / Pix - QR Code,133,"184,23","97,74%"
1662,ARCO_DIGITAL,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,1114,"77,67","99,28%"
1662,ARCO_DIGITAL,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,4070,"180,72","99,48%"
1663,COSMOS_INTERNO,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,2427,"149,45","99,30%"
1663,COSMOS_INTERNO,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,8419,"460,65","99,57%"
1663,COSMOS_INTERNO,Pix,8175497,v1,PUT / PIX - Gerenciamento de Devoluções,1,"165,00","100,00%"
1663,COSMOS_INTERNO,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,656275,"1265,63","99,87%"
1664,SEMENTE_QUENTE,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,219,"159,11","98,63%"
1664,SEMENTE_QUENTE,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,31404,"154,01","99,98%"
1664,SEMENTE_QUENTE,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,5174,"367,79","99,81%"
1665,MAR_SUAVE,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /,98109,"201,50","99,75%"
1666,GELO_DOURADO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /,20,"55,86","100,00%"
1667,DELTA2_RARE,Pix,8175497,v1,PUT / Pix - QR Code,11,"77,57","100,00%"
1667,DELTA2_RARE,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,36,"51,71","100,00%"
1668,SINAL_LARGO,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,127,"105,30","99,21%"
1668,SINAL_LARGO,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,24748,"20,45","100,00%"
1668,SINAL_LARGO,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,1877,"152,05","99,79%"
1669,WAVE_AZUL,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,848,"226,80","98,94%"
1669,WAVE_AZUL,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,22237,"77,71","100,00%"
1670,COSMOS_CLASSICO,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,10,"27,67","100,00%"
1670,COSMOS_CLASSICO,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,3,"72,00","100,00%"
1670,COSMOS_CLASSICO,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,3,"89,33","100,00%"
1671,ATLAS_BAIXO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,6,"38,67","100,00%"
1672,LINHA_PURO,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,18224,"15,81","100,00%"
1672,LINHA_PURO,Pix,8175497,v1,PUT / Pix - QR Code,614,"68,00","99,19%"
1673,EDGE_ALTO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,7,"39,00","100,00%"
1674,BASE_EXTERNO,Pix,8175497,v1,PUT / Pix - QR Code,4,"92,33","100,00%"
1674,BASE_EXTERNO,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,11,"25,00","100,00%"
1674,BASE_EXTERNO,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,2,"102,50","100,00%"
1675,STREAM_ATIVO,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,326,"67,52","100,00%"
1675,STREAM_ATIVO,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,2306,"79,03","99,96%"
1676,PONTE_BETA,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,179,"46,99","100,00%"
1677,ESFERA_BRILHANTE,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,1,"175,00","100,00%"
1677,ESFERA_BRILHANTE,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /,26165,"173,58","99,74%"
1678,BASE_DOURADO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /,107,"73,92","100,00%"
1679,FONTE_PASSIVO,Pix,8175497,v1,PUT / Pix - QR Code,1736,"201,15","99,60%"
1679,FONTE_PASSIVO,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,98,"88,52","98,98%"
1679,FONTE_PASSIVO,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,223666,"179,21","100,00%"
1680,RIO_INFERIOR,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /,91,"37,42","100,00%"
1681,LINHA_CLARO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,8,"44,00","100,00%"
1681,LINHA_CLARO,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,8,"16,33","100,00%"
1682,RIO_GAMA,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /pix,17443,"114,91","99,77%"
1682,RIO_GAMA,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,564,"18,38","99,65%"
1682,RIO_GAMA,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,70,"64,31","100,00%"
1682,RIO_GAMA,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,560,"193,05","99,82%"
1683,SEMENTE_DENSO,Pix,8175497,v1,PUT / Pix - QR Code,412,"75,11","100,00%"
1683,SEMENTE_DENSO,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,10967,"16,03","100,00%"
1684,AURORA_SIMPLES,Pix,8175497,v1,PATCH / PIX - Gerenciamento de Cobranças,1,"87,00","100,00%"
1684,AURORA_SIMPLES,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,20,"57,40","100,00%"
1684,AURORA_SIMPLES,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,140,"22,20","100,00%"
1685,PRISMA_CONTINUO,Pix,8175497,v1,GET / PIX - Gerenciamento de Pix recebidos /,6167,"137,34","99,85%"
1685,PRISMA_CONTINUO,Pix,8175497,v1,PUT / Pix - QR Code,387,"141,51","99,74%"
1686,VENTO_CLASSICO,Pix,8175497,v1,PUT / PIX - Gerenciamento de Cobranças,2318,"264,36","99,31%"
1686,VENTO_CLASSICO,Pix,8175497,v1,GET / PIX - Gerenciamento de Cobranças,43703,"61,19","99,96%"
