id_cliente,nome_cliente,METODO_RECURSO,Total Requisições,4xx,2xx,5xx,Score
32,DELTA_FINO,GET / PIX - Gerenciamento de Cobranças,182253,243,181616,394,0.1359277435145424
33,STREAM_FOSCO,GET / PIX - Gerenciamento de Pix recebidos /pix,90,69,21,0,
34,EDGE_NOVO,GET / PIX - Gerenciamento de Cobranças,260603,200,260143,260,0.0804579647025975
34,EDGE_NOVO,PUT / Pix - QR Code,3969,0,3777,192,
35,LINK_PASSIVO,GET / PIX - Gerenciamento de Cobranças,210728,0,210722,6,0.0030022955134222
35,LINK_PASSIVO,PATCH / PIX - Gerenciamento de Cobranças,46,0,46,0,
35,LINK_PASSIVO,PUT / Pix - QR Code,791,0,781,10,
36,BRISA_GAMA,GET / PIX - Gerenciamento de Cobranças,24,0,24,0,
36,BRISA_GAMA,GET / PIX - Gerenciamento de Pix recebidos /pix,243,30,209,4,
36,BRISA_GAMA,PATCH / PIX - Gerenciamento de Cobranças,6,0,6,0,
36,BRISA_GAMA,PUT / PIX - Gerenciamento de Cobranças,6,0,6,0,
37,VECTOR_DINAMICO,GET / PIX - Gerenciamento de Cobranças,709557,1,709294,262,0.0102501723920267
37,VECTOR_DINAMICO,PUT / PIX - Gerenciamento de Cobranças,1,0,1,0,
37,VECTOR_DINAMICO,PUT / Pix - QR Code,23181,4,23051,126,
38,TORRE_LENTO,GET / PIX - Gerenciamento de Cobranças,344,0,344,0,
38,TORRE_LENTO,PATCH / PIX - Gerenciamento de Cobranças,31,0,31,0,
38,TORRE_LENTO,PUT / Pix - QR Code,32,1,31,0,
39,TOPO_MOVEL,GET / PIX - Gerenciamento de Cobranças,2610048,2740,2601337,5971,0.1421649312100946
39,TOPO_MOVEL,PUT / Pix - QR Code,15168,2,7861,7305,
40,SEMENTE_SUPERIOR,GET / PIX - Gerenciamento de Cobranças,8757,0,8757,0,
40,SEMENTE_SUPERIOR,PUT / PIX - Gerenciamento de Cobranças,507,0,506,1,
41,SOMBRA_PASSIVO,PUT / Pix - QR Code,33,0,33,0,
41,SOMBRA_PASSIVO,PATCH / PIX - Gerenciamento de Cobranças,18,0,18,0,
41,SOMBRA_PASSIVO,GET / PIX - Gerenciamento de Cobranças,1999,0,1989,10,
42,TRAMA_SOLAR,PUT / PIX - Gerenciamento de Cobranças,3871,2264,1496,111,
43,ORIGEM_SECO,PUT / Pix - QR Code,314,0,314,0,
43,ORIGEM_SECO,GET / PIX - Gerenciamento de Cobranças,4353,0,4352,1,
44,ANEL_FECHADO,GET / PIX - Gerenciamento de Cobranças,78114,0,78105,9,
44,ANEL_FECHADO,PUT / PIX - Gerenciamento de Cobranças,2602,0,2583,19,
44,ANEL_FECHADO,PATCH / PIX - Gerenciamento de Cobranças,16,0,16,0,
45,COSMOS_AGIL,GET / PIX - Gerenciamento de Cobranças,83107,23630,47391,12086,
45,COSMOS_AGIL,PUT / Pix - QR Code,46002,4,45902,96,
46,DELTA_PUJANTE,GET / PIX - Gerenciamento de Cobranças,15005,0,15001,4,
46,DELTA_PUJANTE,PUT / PIX - Gerenciamento de Cobranças,661,0,656,5,
47,ROCHA_LUNAR,PUT / Pix - QR Code,3947,4,3920,23,
47,ROCHA_LUNAR,PATCH / PIX - Gerenciamento de Cobranças,317,64,214,39,
47,ROCHA_LUNAR,GET / PIX - Gerenciamento de Cobranças,97941,5,97886,50,
48,LINK_NEUTRO,GET / PIX - Gerenciamento de Pix recebidos /pix,94800,1098,93600,102,
49,AURORA_MORTO,GET / PIX - Gerenciamento de Cobranças,265,0,265,0,
49,AURORA_MORTO,PATCH / PIX - Gerenciamento de Cobranças,3,0,3,0,
49,AURORA_MORTO,PUT / PIX - Gerenciamento de Cobranças,91,0,91,0,
49,AURORA_MORTO,GET / PIX - Gerenciamento de Pix recebidos /pix,112,2,110,0,
50,DELTA2_FIXO,PATCH / PIX - Gerenciamento de Cobranças,13,0,12,1,
50,DELTA2_FIXO,PUT / PIX - Gerenciamento de Cobranças,504,0,492,12,
50,DELTA2_FIXO,GET / PIX - Gerenciamento de Pix recebidos /pix,1823,11,1808,4,
50,DELTA2_FIXO,GET / PIX - Gerenciamento de Cobranças,1969,0,1969,0,
51,SINAL_CURVO,PUT / Pix - QR Code,232,1,222,9,
51,SINAL_CURVO,GET / PIX - Gerenciamento de Cobranças,12393,0,12357,36,
52,COSMOS_BETA,GET / PIX - Gerenciamento de Devoluções,6,6,0,0,
52,COSMOS_BETA,GET / PIX - Gerenciamento de Cobranças,49804,2,49762,40,
52,COSMOS_BETA,PUT / Pix - QR Code,2448,0,2429,19,
52,COSMOS_BETA,PATCH / PIX - Gerenciamento de Cobranças,158,0,154,4,
53,MATRIX_FINO,GET / PIX - Gerenciamento de Cobranças,40749,2,40745,2,
53,MATRIX_FINO,PUT / Pix - QR Code,1534,0,1522,12,
54,ARCO_EXATO,PATCH / PIX - Gerenciamento de Cobranças,207,0,203,4,
54,ARCO_EXATO,PUT / PIX - Gerenciamento de Cobranças,4601,3,4570,28,
54,ARCO_EXATO,GET / PIX - Gerenciamento de Cobranças,74471,4,74451,16,
55,PRISMA_ESTREITO,GET / PIX - Gerenciamento de Cobranças,2304,0,2304,0,
55,PRISMA_ESTREITO,PUT / PIX - Gerenciamento de Cobranças,305,0,305,0,
55,PRISMA_ESTREITO,PATCH / PIX - Gerenciamento de Cobranças,11,0,11,0,
56,NODEX_VERDE,PUT / PIX - Gerenciamento de Devoluções,16,0,2,14,
56,NODEX_VERDE,GET / Pix - Consultar Pix,19,0,19,0,
56,NODEX_VERDE,GET / PIX - Gerenciamento de Cobranças,7399314,4617,7389144,5553,0.1678175883662541
56,NODEX_VERDE,GET / PIX - Gerenciamento de Pix recebidos /pix,4797,223,4574,0,
56,NODEX_VERDE,PUT / Pix - QR Code,1923,4,1909,10,
57,HORIZONTE_MODERNO,GET / PIX - Gerenciamento de Cobranças,1352,0,1351,1,
57,HORIZONTE_MODERNO,PUT / PIX - Gerenciamento de Cobranças,864,0,862,2,
57,HORIZONTE_MODERNO,GET / PIX - Gerenciamento de Pix recebidos /pix,1,0,1,0,
58,WAVE_ESTREITO,GET / PIX - Gerenciamento de Pix recebidos /pix,9,1,8,0,
59,FLUXO_SERENO,PUT / Pix - QR Code,4537,22,4453,62,
59,FLUXO_SERENO,GET / PIX - Gerenciamento de Cobranças,5793749,4429,5781276,8044,0.1589894759969774
60,LESTE_SECO,PATCH / PIX - Gerenciamento de Cobranças,26,0,26,0,
60,LESTE_SECO,GET / PIX - Gerenciamento de Cobranças,947,0,947,0,
60,LESTE_SECO,PUT / PIX - Gerenciamento de Cobranças,357,0,357,0,
60,LESTE_SECO,PUT / PIX - Gerenciamento de Devoluções,2,0,2,0,
61,DELTA2_BAIXO,GET / PIX - Gerenciamento de Cobranças,1238,0,1233,5,
62,STREAM_ALTO,PUT / Pix - QR Code,59,0,59,0,
63,GRADE_EXATO,GET / PIX - Gerenciamento de Cobranças,30,0,30,0,
63,GRADE_EXATO,PUT / PIX - Gerenciamento de Cobranças,7,0,6,1,
64,CORRENTE_NITIDO,GET / PIX - Gerenciamento de Pix recebidos /,41594,51,41506,37,
65,TORRE_SECO,GET / PIX - Gerenciamento de Pix recebidos /pix,52150,44158,7850,142,
65,TORRE_SECO,PATCH / PIX - Gerenciamento de Cobranças,4128,4107,17,4,
65,TORRE_SECO,PUT / PIX - Gerenciamento de Cobranças,4100,0,4090,10,
66,DELTA_FRIO,GET / PIX - Gerenciamento de Cobranças,597,587,0,10,
66,DELTA_FRIO,GET / PIX - Gerenciamento de Pix recebidos /pix,18704,16781,1874,49,
66,DELTA_FRIO,PUT / PIX - Gerenciamento de Cobranças,5487,0,5483,4,
66,DELTA_FRIO,PATCH / PIX - Gerenciamento de Cobranças,5546,5482,30,34,
67,DELTA_CALMO,GET / PIX - Gerenciamento de Cobranças,27337,1,27334,2,
67,DELTA_CALMO,PUT / Pix - QR Code,957,0,952,5,
68,FIBRA_CURVO,GET / PIX - Gerenciamento de Cobranças,1,1,0,0,
69,ORIGEM_PURO,PATCH / PIX - Gerenciamento de Cobranças,3812,179,3615,18,
69,ORIGEM_PURO,GET / PIX - Gerenciamento de Cobranças,532868,864,530538,1466,0.1697333746119048
69,ORIGEM_PURO,PUT / Pix - QR Code,16054,0,15962,92,
70,CAMINHO_UMIDO,PUT / PIX - Gerenciamento de Cobranças,1,0,1,0,
70,CAMINHO_UMIDO,GET / PIX - Gerenciamento de Cobranças,1,0,1,0,
71,ECO_ABERTO,GET / PIX - Gerenciamento de Cobranças,483,0,483,0,
71,ECO_ABERTO,PUT / Pix - QR Code,3,0,3,0,
72,DELTA_INTERNO,PUT / PIX - Gerenciamento de Cobranças,53,53,0,0,
73,PLANO_NITIDO,PUT / PIX - Gerenciamento de Cobranças,33029,0,32775,254,
73,PLANO_NITIDO,GET / PIX - Gerenciamento de Cobranças,694748,432,692849,1467,0.0720790713109113
73,PLANO_NITIDO,PATCH / PIX - Gerenciamento de Cobranças,972,0,963,9,
74,MATRIX_ABERTO,GET / PIX - Gerenciamento de Cobranças,94,0,94,0,
74,MATRIX_ABERTO,GET / PIX - Gerenciamento de Pix recebidos /,53349,41255,11959,135,
74,MATRIX_ABERTO,PUT / Pix - QR Code,414,0,414,0,
75,BLOCO_SUPERIOR,PUT / PIX - Gerenciamento de Cobranças,6843,0,6838,5,
75,BLOCO_SUPERIOR,PATCH / PIX - Gerenciamento de Cobranças,6896,6858,31,7,
75,BLOCO_SUPERIOR,GET / PIX - Gerenciamento de Pix recebidos /pix,17321,3747,13537,37,
76,LUZ_UNICO,GET / PIX - Gerenciamento de Pix recebidos /,1534534,1529817,0,4717,99.71447316167072
77,TRILHA_ATIVO,GET / PIX - Gerenciamento de Cobranças,6,0,6,0,
77,TRILHA_ATIVO,PUT / PIX - Gerenciamento de Cobranças,1,0,1,0,
78,PULSO_PURO,GET / PIX - Gerenciamento de Pix recebidos /pix,14825,9613,5164,48,
79,PONTE_EXATO,PUT / PIX - Gerenciamento de Cobranças,2,0,2,0,
79,PONTE_EXATO,GET / PIX - Gerenciamento de Pix recebidos /,17,7,10,0,
80,COSMOS_COMPLEXO,PUT / PIX - Gerenciamento de Cobranças,434,0,434,0,
