id_cliente,nome_cliente,% 4xx,Último Acionamento,Score,Penúltimo Mês,Mês Anterior,Mês Corrente
817,GELO_REMOTO,"0,00%",2026-04-08 00:00:00,0.0,380.0,5097,3382
824,DELTA_DISCRETO,"0,01%",2026-04-08 00:00:00,0.0,1595.0,1798,2319
828,LUZ_PRECISO,"99,51%",2026-04-08 00:00:00,0.0,5440.0,8801,8847
833,NEBULA_FRIO,"0,00%",2026-03-31 00:00:00,100.0,7456.0,63690,0
834,ESFERA_FLUIDO,"0,00%",2026-04-08 00:00:00,0.0,1875.0,2108,1883
839,BASE_SUPERIOR,"82,02%",2026-03-31 00:00:00,100.0,8765.0,8730,0
840,NEBULA_GAMA,"13,59%",2026-04-08 00:00:00,0.0,3164.0,4700,4928
841,TORRE_VASTO,"22,72%",2026-04-08 00:00:00,0.0,6206.0,6295,6354
847,VECTOR_SECO,"99,36%",2026-04-08 00:00:00,0.0,8418.0,8331,8518
850,TOPO_COMPLEXO,"0,02%",2026-04-08 00:00:00,0.0,1931.0,2083,2182
851,SYSTEM_ABSTRATO,"74,46%",2026-04-08 00:00:00,0.0,18332.0,16888,16942
860,NEBULA_CURVO,"50,76%",2026-03-31 00:00:00,100.0,3819.0,4170,0
862,PATH_VIVO,"2,01%",2026-03-27 00:00:00,100.0,2415.0,6640,0
864,PULSO_CONTINUO,"0,07%",2026-03-11 00:00:00,100.0,8450.0,2746,0
866,PORTAL_SIMPLES,"0,01%",2026-04-08 00:00:00,0.0,9237.0,9865,9
868,EDGE_CENTRAL,"0,00%",2026-04-08 00:00:00,0.0,961.0,1012,1157
869,FIBRA_RARE,"0,00%",2026-04-08 00:00:00,0.0,3547.0,3848,3809
871,ZONE_RAPIDO,"98,85%",2026-04-08 00:00:00,0.0,2878.0,6811,2877
879,CHAMA_ANTIGO,"31,56%",2026-03-31 00:00:00,100.0,7578.0,7375,0
888,TRILHA_CENTRAL,"0,04%",2026-04-08 00:00:00,0.0,4651.0,5537,2691
890,AXIS_PRECISO,"90,14%",2026-04-08 00:00:00,0.0,7543.0,7664,7739
897,ESTRELA_LEVE,"5,34%",2026-04-08 00:00:00,0.0,20633.0,23280,18651
911,ZONE_CONTINUO,"0,21%",2026-04-08 00:00:00,0.0,3975.0,4668,371
912,SUL_EXTERNO,"0,25%",2026-04-08 00:00:00,0.0,2880.0,3986,371
918,LINHA_SECO,"0,12%",2026-04-08 00:00:00,0.0,8301.0,8760,371
